"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Apr-2025","EQ","1,913.00","1,936.90","1,910.30","1,908.80","1,920.10","1,925.00","1,925.02","1,978.90","1,426.80","1,59,68,435","30,73,94,92,241.20","2,75,126"
"29-Apr-2025","EQ","1,918.80","1,928.80","1,900.20","1,920.20","1,906.00","1,908.80","1,909.52","1,978.90","1,426.80","94,59,154","18,06,24,38,512.30","1,86,299"
"28-Apr-2025","EQ","1,911.20","1,929.70","1,908.40","1,911.20","1,921.00","1,920.20","1,922.17","1,978.90","1,426.80","69,60,246","13,37,87,45,824.70","1,55,527"
"25-Apr-2025","EQ","1,924.80","1,933.00","1,891.80","1,916.80","1,908.00","1,911.20","1,911.37","1,978.90","1,426.80","92,50,439","17,68,10,17,343.80","2,01,781"
"24-Apr-2025","EQ","1,910.00","1,923.90","1,905.10","1,923.90","1,914.90","1,916.80","1,916.73","1,978.90","1,426.80","1,29,65,877","24,85,20,91,752.80","2,27,034"
"23-Apr-2025","EQ","1,978.90","1,978.90","1,920.50","1,961.70","1,920.70","1,923.90","1,939.04","1,978.90","1,426.80","1,52,85,321","29,63,89,23,676.10","2,47,823"
"22-Apr-2025","EQ","1,935.00","1,970.60","1,935.00","1,927.10","1,960.00","1,961.70","1,957.16","1,970.60","1,426.80","2,29,80,875","44,97,72,15,852.40","5,12,026"
"21-Apr-2025","EQ","1,924.00","1,950.70","1,910.00","1,906.70","1,925.20","1,927.10","1,930.83","1,950.70","1,426.80","1,71,23,649","33,06,28,32,499.30","4,11,337"
"17-Apr-2025","EQ","1,882.00","1,919.70","1,876.70","1,878.00","1,905.80","1,906.70","1,901.41","1,919.70","1,426.80","1,78,51,542","33,94,31,68,763.20","3,94,807"
"16-Apr-2025","EQ","1,883.80","1,883.80","1,860.50","1,864.90","1,875.90","1,878.00","1,874.15","1,883.80","1,426.80","95,68,410","17,93,26,65,363.90","2,52,887"
"15-Apr-2025","EQ","1,865.00","1,876.80","1,855.00","1,806.75","1,865.60","1,864.90","1,866.76","1,880.00","1,426.80","2,46,49,172","46,01,41,08,976.00","3,60,194"
"11-Apr-2025","EQ","1,774.75","1,819.40","1,774.75","1,765.00","1,805.20","1,806.75","1,803.31","1,880.00","1,426.80","1,63,87,883","29,55,24,99,474.85","3,95,826"
"09-Apr-2025","EQ","1,765.00","1,775.00","1,753.50","1,769.15","1,765.30","1,765.00","1,761.66","1,880.00","1,426.80","1,12,27,304","19,77,87,28,957.55","2,07,950"
"08-Apr-2025","EQ","1,765.00","1,782.00","1,750.30","1,757.70","1,770.15","1,769.15","1,769.16","1,880.00","1,426.80","1,77,81,936","31,45,90,03,790.15","3,55,184"
"07-Apr-2025","EQ","1,762.80","1,779.85","1,738.20","1,817.30","1,760.05","1,757.70","1,759.15","1,880.00","1,426.80","1,89,97,725","33,41,98,75,202.00","3,74,557"
"04-Apr-2025","EQ","1,813.00","1,841.95","1,811.10","1,794.85","1,816.80","1,817.30","1,824.22","1,880.00","1,426.80","1,67,70,227","30,59,26,39,918.20","3,16,416"
"03-Apr-2025","EQ","1,781.10","1,804.00","1,777.00","1,796.90","1,792.80","1,794.85","1,794.09","1,880.00","1,426.80","56,25,019","10,09,18,17,304.10","1,47,618"
"02-Apr-2025","EQ","1,770.70","1,799.20","1,770.70","1,767.85","1,798.90","1,796.90","1,791.24","1,880.00","1,426.80","57,86,782","10,36,55,35,361.90","1,44,509"
"01-Apr-2025","EQ","1,802.00","1,809.90","1,765.35","1,828.20","1,769.90","1,767.85","1,781.74","1,880.00","1,426.80","1,42,55,503","25,39,96,32,617.35","4,09,481"
"28-Mar-2025","EQ","1,829.00","1,836.00","1,805.85","1,825.35","1,825.50","1,828.20","1,821.88","1,880.00","1,421.25","1,43,86,824","26,21,10,31,845.90","2,76,619"
"27-Mar-2025","EQ","1,800.00","1,841.00","1,798.10","1,806.55","1,821.20","1,825.35","1,827.55","1,880.00","1,421.25","2,08,29,050","38,06,61,30,418.30","4,16,415"
"26-Mar-2025","EQ","1,825.00","1,827.50","1,802.00","1,821.45","1,803.00","1,806.55","1,814.11","1,880.00","1,421.25","1,22,39,221","22,20,33,11,052.10","2,65,431"
"25-Mar-2025","EQ","1,804.90","1,843.70","1,801.50","1,800.00","1,816.00","1,821.45","1,825.84","1,880.00","1,421.25","1,95,50,708","35,69,65,16,139.20","4,07,401"
"24-Mar-2025","EQ","1,779.00","1,804.40","1,773.65","1,770.35","1,802.80","1,800.00","1,794.28","1,880.00","1,421.25","86,96,868","15,60,46,55,158.80","2,86,856"
"21-Mar-2025","EQ","1,755.55","1,774.10","1,755.55","1,768.75","1,772.50","1,770.35","1,766.98","1,880.00","1,421.25","1,67,54,132","29,60,41,96,148.95","2,10,244"
"20-Mar-2025","EQ","1,754.00","1,774.00","1,749.30","1,744.10","1,766.60","1,768.75","1,760.62","1,880.00","1,421.25","89,16,989","15,69,93,98,473.15","2,18,030"
"19-Mar-2025","EQ","1,735.00","1,751.00","1,732.20","1,732.20","1,743.95","1,744.10","1,743.72","1,880.00","1,421.25","76,10,703","13,27,09,34,759.25","2,01,878"
"18-Mar-2025","EQ","1,728.00","1,737.40","1,715.05","1,710.40","1,735.60","1,732.20","1,729.28","1,880.00","1,421.25","1,09,53,589","18,94,17,85,563.70","2,48,631"
"17-Mar-2025","EQ","1,705.00","1,724.00","1,705.00","1,706.60","1,710.50","1,710.40","1,711.13","1,880.00","1,421.25","94,75,957","16,21,46,35,449.55","3,65,060"
"13-Mar-2025","EQ","1,716.05","1,720.80","1,700.05","1,711.15","1,705.00","1,706.60","1,711.11","1,880.00","1,421.25","78,68,132","13,46,32,15,400.70","1,85,351"
"12-Mar-2025","EQ","1,691.55","1,718.50","1,691.55","1,685.50","1,711.80","1,711.15","1,710.44","1,880.00","1,421.25","93,92,053","16,06,45,64,334.10","2,77,146"
